== assets/index-BUy3LYQf.js   emitted 1967959 bytes
     738278  npm:dockview-core
     547941  npm:@deck.gl+core
     493926  npm:h3-js
     327088  npm:@luma.gl+webgl
     322375  src/generated
     252993  npm:ajv
     207342  npm:@luma.gl+core
     162047  src/backend
     134830  npm:react-dom
     126573  npm:@luma.gl+shadertools
     114407  npm:@luma.gl+engine
      87599  npm:mjolnir.js
      87565  src/panels
      81871  npm:@deck.gl+layers
      74671  npm:@math.gl+core
      53968  npm:@loaders.gl+core
      51831  npm:fast-uri
      34785  npm:dockview-react
      24919  npm:@loaders.gl+worker-utils
      21631  npm:earcut
      20470  npm:@loaders.gl+images
      20171  npm:@math.gl+polygon
      19374  other
      18806  npm:@deck.gl+react
      18284  npm:@probe.gl+log
      17838  npm:ajv-formats
      17185  npm:@math.gl+web-mercator
      14628  npm:@loaders.gl+loader-utils
       9585  npm:react
       6518  npm:@probe.gl+stats
       6039  src/shell
       4918  npm:scheduler
       3433  npm:@probe.gl+env
